"cell_id","week","season","adj_cell_sum","adj_cell_sum_se","adj_cell_sum_week","adj_cell_sum_week_se","prop_week","prop_week_se"
1,2018-04-05,"prebreeding_migration",0,0,0,0,0,0
2,2018-04-05,"prebreeding_migration",0,0,0,0,0,0
3,2018-04-05,"prebreeding_migration",0,0,0,0,0,0
4,2018-04-05,"prebreeding_migration",0,0,0,0,0,0
5,2018-04-05,"prebreeding_migration",0,0,0,0,0,0
6,2018-04-05,"prebreeding_migration",0,0,0,0,0,0
7,2018-04-05,"prebreeding_migration",0,0,0,0,0,0
8,2018-04-05,"prebreeding_migration",0,0,0,0,0,0
1,2018-04-12,"prebreeding_migration",0,0,0,0,0,0
2,2018-04-12,"prebreeding_migration",0,0,0,0,0,0
3,2018-04-12,"prebreeding_migration",0,0,0,0,0,0
4,2018-04-12,"prebreeding_migration",0,0,0,0,0,0
5,2018-04-12,"prebreeding_migration",0,0,0,0,0,0
6,2018-04-12,"prebreeding_migration",0,0,0,0,0,0
7,2018-04-12,"prebreeding_migration",0,0,0,0,0,0
8,2018-04-12,"prebreeding_migration",0,0,0,0,0,0
1,2018-04-19,"prebreeding_migration",127.805073022843,9.25838580342481,2227.32508503646,15.3181365555669,0.0573805206440042,0.00417541888202733
2,2018-04-19,"prebreeding_migration",251.4199154228,8.93014609991113,2227.32508503646,15.3181365555669,0.112879757477649,0.0040838249887758
3,2018-04-19,"prebreeding_migration",471.97644847632,7.20927494895322,2227.32508503646,15.3181365555669,0.211902811873819,0.00354969234402503
4,2018-04-19,"prebreeding_migration",1376.1236481145,4.14806523509155,2227.32508503646,15.3181365555669,0.617836910004528,0.00463930432675719
5,2018-04-19,"prebreeding_migration",0,0,2227.32508503646,15.3181365555669,0,0
6,2018-04-19,"prebreeding_migration",0,0,2227.32508503646,15.3181365555669,0,0
7,2018-04-19,"prebreeding_migration",0,0,2227.32508503646,15.3181365555669,0,0
8,2018-04-19,"prebreeding_migration",0,0,2227.32508503646,15.3181365555669,0,0
1,2018-04-26,"prebreeding_migration",741.951700597997,9.85484844760846,13304.9777361304,19.9373593923336,0.0557649712245056,0.000745387653749308
2,2018-04-26,"prebreeding_migration",3942.50888121128,10.9220622291289,13304.9777361304,19.9373593923336,0.296318337347171,0.000933295194341047
3,2018-04-26,"prebreeding_migration",4598.18955031038,11.0098959588619,13304.9777361304,19.9373593923336,0.345599191633651,0.00097619447964522
4,2018-04-26,"prebreeding_migration",4022.3276040107,7.73763589553131,13304.9777361304,19.9373593923336,0.302317499794672,0.000737182457649951
5,2018-04-26,"prebreeding_migration",0,0,13304.9777361304,19.9373593923336,0,0
6,2018-04-26,"prebreeding_migration",0,0,13304.9777361304,19.9373593923336,0,0
7,2018-04-26,"prebreeding_migration",0,0,13304.9777361304,19.9373593923336,0,0
8,2018-04-26,"prebreeding_migration",0,0,13304.9777361304,19.9373593923336,0,0
1,2018-05-03,"prebreeding_migration",1119.26000452042,10.193672039386,27696.8950134739,26.1279612587955,0.0404110281667285,0.00037001291579029
2,2018-05-03,"prebreeding_migration",6628.93039852381,12.6991336935231,27696.8950134739,26.1279612587955,0.239338394982505,0.000511079961946949
3,2018-05-03,"prebreeding_migration",9856.67299658062,15.0982119723911,27696.8950134739,26.1279612587955,0.355876461667835,0.000640207061209472
4,2018-05-03,"prebreeding_migration",6970.66074723005,12.1171569018006,27696.8950134739,26.1279612587955,0.251676613708467,0.000497762084598353
5,2018-05-03,"prebreeding_migration",1836.92382262647,5.66816554691152,27696.8950134739,26.1279612587955,0.0663223737438022,0.000213999993830939
6,2018-05-03,"prebreeding_migration",1284.44704399258,3.25297041414168,27696.8950134739,26.1279612587955,0.0463751277306616,0.00012533215194147
7,2018-05-03,"prebreeding_migration",0,0,27696.8950134739,26.1279612587955,0,0
8,2018-05-03,"prebreeding_migration",0,0,27696.8950134739,26.1279612587955,0,0
1,2018-05-10,"prebreeding_migration",1089.55366489292,10.1054598868652,40877.7322542668,29.6012715341264,0.0266539654919138,0.000247964186632505
2,2018-05-10,"prebreeding_migration",7001.87329518794,13.0878830660157,40877.7322542668,29.6012715341264,0.171288202868864,0.000343358300587208
3,2018-05-10,"prebreeding_migration",12700.7036408782,16.3039378750945,40877.7322542668,29.6012715341264,0.310699809908181,0.000457929354739064
4,2018-05-10,"prebreeding_migration",10752.9753124714,14.1948440667375,40877.7322542668,29.6012715341264,0.263052148920248,0.000396066597127171
5,2018-05-10,"prebreeding_migration",4304.50791278481,8.5086876932803,40877.7322542668,29.6012715341264,0.105302023263179,0.000221677484832034
6,2018-05-10,"prebreeding_migration",2892.45619982481,5.21132630545419,40877.7322542668,29.6012715341264,0.0707587246237932,0.000137397504107069
7,2018-05-10,"prebreeding_migration",2135.66222822666,5.99621525003115,40877.7322542668,29.6012715341264,0.0522451249238207,0.00015148690641436
8,2018-05-10,"prebreeding_migration",0,0,40877.7322542668,29.6012715341264,0,0
1,2018-05-17,"prebreeding_migration",1083.12469425798,9.95180144293083,49590.5529628396,30.3831212833397,0.0218413514176704,0.000201125048120461
2,2018-05-17,"prebreeding_migration",7115.97675794364,12.8097763334015,49590.5529628396,30.3831212833397,0.143494603967735,0.000272862127719992
3,2018-05-17,"prebreeding_migration",14633.306738317,16.0459652302639,49590.5529628396,30.3831212833397,0.295082548268466,0.000370651185722889
4,2018-05-17,"prebreeding_migration",12645.9106799364,14.0663469047368,49590.5529628396,30.3831212833397,0.255006446276422,0.000323832129409178
5,2018-05-17,"prebreeding_migration",5636.96986541152,8.27895182632457,49590.5529628396,30.3831212833397,0.113670236136216,0.000180890090718417
6,2018-05-17,"prebreeding_migration",4236.70394647121,5.82563639113144,49590.5529628396,30.3831212833397,0.0854336903572331,0.000128608515190792
7,2018-05-17,"prebreeding_migration",3423.99800795317,6.42470814742485,49590.5529628396,30.3831212833397,0.0690453685910484,0.000136286598179779
8,2018-05-17,"prebreeding_migration",814.56227254868,7.80475908326033,49590.5529628396,30.3831212833397,0.0164257549852099,0.000157705417864095
