"species","pif_est_na_sum","pif_est_na_sum_se","season","week","n_migs","n_migs_se"
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-01-04,5.25931259486379,2.0592219298197
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-01-11,2.96181938533126,0.37419813410317
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-01-18,2.35137191740554,0.307299561567408
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-01-25,2.61762520527198,0.360228597478198
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-02-01,3.89284835266148,0.445642521746505
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-02-08,5.37569906749056,1.23079681522906
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-02-15,11.0828787100157,1.63900793734487
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-02-22,18.7238947675652,1.81886986452999
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-03-01,7.82905862842556,0.874529590564914
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-03-08,6.38878354783977,0.763253468673216
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-03-15,9.99947088490379,1.02153312022812
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-03-22,17.2890733354489,2.83808608875866
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-03-29,36.4230905810511,3.291393351477
"Western Tanager",15020244,1135525.44529262,"prebreeding_migration",2018-04-05,211.661998484985,16.4303711575055
"Western Tanager",15020244,1135525.44529262,"prebreeding_migration",2018-04-12,21056.8296611994,1592.56550091827
"Western Tanager",15020244,1135525.44529262,"prebreeding_migration",2018-04-19,79231.4766307332,5991.41093124935
"Western Tanager",15020244,1135525.44529262,"prebreeding_migration",2018-04-26,161264.027664591,12193.6582791294
"Western Tanager",15020244,1135525.44529262,"prebreeding_migration",2018-05-03,217688.392684034,16459.6893017154
"Western Tanager",15020244,1135525.44529262,"prebreeding_migration",2018-05-10,221904.629307082,16778.6265757845
"Western Tanager",15020244,1135525.44529262,"prebreeding_migration",2018-05-17,210259.828778421,15897.7789324118
"Western Tanager",15020244,1135525.44529262,"prebreeding_migration",2018-05-24,188040.762165097,14217.7305272819
"Western Tanager",15020244,1135525.44529262,"prebreeding_migration",2018-05-31,137241.945186036,10377.4221406319
"Western Tanager",15020244,1135525.44529262,"prebreeding_migration",2018-06-07,42068.2373723896,3182.4969181887
"Western Tanager",15020244,1135525.44529262,"breeding",2018-06-21,8981.76260201544,682.298419527173
"Western Tanager",15020244,1135525.44529262,"breeding",2018-06-28,6910.72723716402,524.692150129517
"Western Tanager",15020244,1135525.44529262,"breeding",2018-07-06,6375.42314446968,484.594502236014
"Western Tanager",15020244,1135525.44529262,"postbreeding_migration",2018-07-20,20659.3173811417,1563.16215986185
"Western Tanager",15020244,1135525.44529262,"postbreeding_migration",2018-07-27,38855.4093025005,2938.36353774141
"Western Tanager",15020244,1135525.44529262,"postbreeding_migration",2018-08-03,49193.5371988621,3719.83553156562
"Western Tanager",15020244,1135525.44529262,"postbreeding_migration",2018-08-10,51625.6518720423,3903.70253817021
"Western Tanager",15020244,1135525.44529262,"postbreeding_migration",2018-08-17,53489.4904239197,4044.80808497099
"Western Tanager",15020244,1135525.44529262,"postbreeding_migration",2018-08-24,59395.060337462,4491.38330667844
"Western Tanager",15020244,1135525.44529262,"postbreeding_migration",2018-08-31,69005.741951729,5218.42323546552
"Western Tanager",15020244,1135525.44529262,"postbreeding_migration",2018-09-07,74106.8591751366,5604.1203954445
"Western Tanager",15020244,1135525.44529262,"postbreeding_migration",2018-09-14,75985.334491173,5745.89423761213
"Western Tanager",15020244,1135525.44529262,"postbreeding_migration",2018-09-21,66824.6965140556,5053.25291802551
"Western Tanager",15020244,1135525.44529262,"postbreeding_migration",2018-09-28,45748.2684370976,3459.76341645184
"Western Tanager",15020244,1135525.44529262,"postbreeding_migration",2018-10-05,14117.9112168871,1068.00409527074
"Western Tanager",15020244,1135525.44529262,"postbreeding_migration",2018-10-12,837.980772012889,63.937715475017
"Western Tanager",15020244,1135525.44529262,"postbreeding_migration",2018-10-19,105.796219356154,8.46159518989708
"Western Tanager",15020244,1135525.44529262,"postbreeding_migration",2018-10-26,33.5675300255265,2.95023942039958
"Western Tanager",15020244,1135525.44529262,"postbreeding_migration",2018-11-02,21.8516307297943,1.88798975092203
"Western Tanager",15020244,1135525.44529262,"postbreeding_migration",2018-11-09,11.6775414092589,0.953880064143148
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-11-16,7.06144887120857,0.775259929688108
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-11-23,6.41012217120752,0.601263044990908
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-11-30,8.57893112823423,2.2152302018148
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-12-07,12.0939498351073,1.51825315357246
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-12-14,9.48897729621135,2.20278427475876
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-12-21,13.2033113946162,3.15270392326524
"Western Tanager",15020244,1135525.44529262,"nonbreeding",2018-12-28,10.0071699242545,1.51293203614444
