"species","region","max_count_spring","max_count_spring_se","max_count_fall","max_count_fall_se","tot_count_spring","tot_count_spring_se","tot_count_fall","tot_count_fall_se","tot_na_pop","tot_na_pop_se","prop_na_spring","prop_na_spring_se","prop_na_fall","prop_na_fall_se"
"Western Tanager","focal_region",214993.902069918,16786.8285158939,69074.607254009,5769.80090143775,1216559.58431511,36259.3764928423,536078.551456039,14501.3624376052,15020244,1135525.44529262,0.081,0.0066,0.0356904,0.00286571
"Yellow Warbler","focal_region",373182.257095979,24736.6728386274,195760.210602347,15531.0356516141,1857354.63388745,51856.8130594122,1233691.15709162,39541.0641515293,92640979,4935720.10178117,0.02,0.0012,0.01331691,0.00082799
