"cell_id","week","season","adj_cell_sum","adj_cell_sum_se","adj_cell_sum_week","adj_cell_sum_week_se","prop_week","prop_week_se"
7,2018-05-03,"prebreeding_migration",682.88489884139,9.12205683476719,24264.6455602497,32.8897644285755,0.0281432051890382,0.000377870695417274
8,2018-05-03,"prebreeding_migration",1002.8451794833,9.63735067504578,24264.6455602497,32.8897644285755,0.0413294798390198,0.000401107947616454
1,2018-05-10,"prebreeding_migration",1158.85136075318,4.24600934463082,38869.5977837593,39.1468600577221,0.0298138243467335,0.00011328889903363
2,2018-05-10,"prebreeding_migration",8305.66765739023,18.578230450477,38869.5977837593,39.1468600577221,0.213680308800636,0.000524177104321535
3,2018-05-10,"prebreeding_migration",9729.48367455607,14.1134034425707,38869.5977837593,39.1468600577221,0.25031089152719,0.00044203104637233
4,2018-05-10,"prebreeding_migration",8837.28926452999,18.2470963704388,38869.5977837593,39.1468600577221,0.227357363296989,0.000522311247048261
5,2018-05-10,"prebreeding_migration",1073.54220384359,14.9476209164038,38869.5977837593,39.1468600577221,0.0276190715894709,0.000385562849779145
6,2018-05-10,"prebreeding_migration",2515.97943949699,11.1092838790944,38869.5977837593,39.1468600577221,0.0647287232940761,0.000293149488247164
7,2018-05-10,"prebreeding_migration",2938.58912226558,11.635732911368,38869.5977837593,39.1468600577221,0.0756012228017804,0.000308884489501837
8,2018-05-10,"prebreeding_migration",4310.1950609237,12.4464809451021,38869.5977837593,39.1468600577221,0.110888594343124,0.000339127626862507
1,2018-05-17,"prebreeding_migration",1307.66869260371,4.39092083075289,41864.8986795098,39.264380354563,0.0312354438646649,0.000108897545749185
2,2018-05-17,"prebreeding_migration",9375.12170101703,17.5534197777398,41864.8986795098,39.264380354563,0.223937522763086,0.000468949101515989
3,2018-05-17,"prebreeding_migration",11336.4540261925,15.080327375304,41864.8986795098,39.264380354563,0.270786610830637,0.000440741454154826
4,2018-05-17,"prebreeding_migration",9048.73881641029,18.5891571386529,41864.8986795098,39.264380354563,0.216141424004904,0.00048811243996583
5,2018-05-17,"prebreeding_migration",136.39132648706,14.3406704731315,41864.8986795098,39.264380354563,0.00325789219104965,0.000342560030834967
6,2018-05-17,"prebreeding_migration",2714.00540065765,11.9952097869798,41864.8986795098,39.264380354563,0.064827707369706,0.000292901912769396
7,2018-05-17,"prebreeding_migration",3896.8984734118,12.3013957611568,41864.8986795098,39.264380354563,0.0930827159822815,0.000306530172697359
8,2018-05-17,"prebreeding_migration",4049.62024272978,11.851226560792,41864.8986795098,39.264380354563,0.0967306829936701,0.00029726466715519
1,2018-05-24,"prebreeding_migration",1188.77503030002,5.04649553041567,37806.837105766,36.0302959679881,0.0314433875273506,0.000136803282900685
2,2018-05-24,"prebreeding_migration",8677.19362778963,17.37058019259,37806.837105766,36.0302959679881,0.229513873469893,0.000508863688978294
3,2018-05-24,"prebreeding_migration",11089.2741374076,15.1125103908524,37806.837105766,36.0302959679881,0.293313987265978,0.000487771875087266
4,2018-05-24,"prebreeding_migration",7817.83289429549,17.3410419853525,37806.837105766,36.0302959679881,0.206783573892331,0.000499217257668837
5,2018-05-24,"prebreeding_migration",0,0,37806.837105766,36.0302959679881,0,0
6,2018-05-24,"prebreeding_migration",2510.81817144155,12.1752848391259,37806.837105766,36.0302959679881,0.0664117488701169,0.000328199675053842
7,2018-05-24,"prebreeding_migration",3676.91109529138,12.7695650050856,37806.837105766,36.0302959679881,0.097255189187212,0.000350244296463751
8,2018-05-24,"prebreeding_migration",2846.03214924038,11.4271166700432,37806.837105766,36.0302959679881,0.0752782397871184,0.000310647427985971
1,2018-05-31,"prebreeding_migration",545.401075989008,4.12072114018856,20912.4825609923,33.0150254873373,0.026080168836881,0.000201301700561493
2,2018-05-31,"prebreeding_migration",4670.45260892809,17.7019931411233,20912.4825609923,33.0150254873373,0.223333245840444,0.000916974173963003
3,2018-05-31,"prebreeding_migration",6356.62570503357,12.4764233320383,20912.4825609923,33.0150254873373,0.303963228014377,0.00076564518455922
4,2018-05-31,"prebreeding_migration",3407.81973412633,13.8252285072353,20912.4825609923,33.0150254873373,0.162956249894639,0.000709391650613391
5,2018-05-31,"prebreeding_migration",0,0,20912.4825609923,33.0150254873373,0,0
6,2018-05-31,"prebreeding_migration",1546.54542118311,12.5243685808345,20912.4825609923,33.0150254873373,0.0739532198854218,0.000610168378549129
7,2018-05-31,"prebreeding_migration",2790.2980928123,12.4136390286339,20912.4825609923,33.0150254873373,0.133427396038431,0.000629866376975009
8,2018-05-31,"prebreeding_migration",1595.33992291987,10.0942894413942,20912.4825609923,33.0150254873373,0.0762864914898068,0.000497489985737279
1,2018-06-07,"prebreeding_migration",256.402652397752,3.2665359046722,12249.5980661064,30.2128592219212,0.0209315155496567,0.000271616190956263
2,2018-06-07,"prebreeding_migration",2462.58936525881,15.9367955599906,12249.5980661064,30.2128592219212,0.201034299408776,0.00139228993196593
3,2018-06-07,"prebreeding_migration",3862.64995160699,10.1601026958958,12249.5980661064,30.2128592219212,0.315328709624735,0.00113702242893132
4,2018-06-07,"prebreeding_migration",1975.44195857644,12.3265886509873,12249.5980661064,30.2128592219212,0.161265859329892,0.0010820427430783
5,2018-06-07,"prebreeding_migration",0,0,12249.5980661064,30.2128592219212,0,0
6,2018-06-07,"prebreeding_migration",629.13633549213,12.362474955243,12249.5980661064,30.2128592219212,0.0513597533647161,0.00101713376691399
7,2018-06-07,"prebreeding_migration",2001.54080930353,11.9865046228087,12249.5980661064,30.2128592219212,0.163396447663178,0.00105826296369209
8,2018-06-07,"prebreeding_migration",1061.83699347079,9.82270829113635,12249.5980661064,30.2128592219212,0.0866834150590459,0.000829892579999496
1,2018-07-20,"postbreeding_migration",0,0,73.2533321976698,7.46998676789364,0,0
2,2018-07-20,"postbreeding_migration",0,0,73.2533321976698,7.46998676789364,0,0
3,2018-07-20,"postbreeding_migration",73.2533321976698,7.46998676789364,73.2533321976698,7.46998676789364,1,0.144214007485639
4,2018-07-20,"postbreeding_migration",0,0,73.2533321976698,7.46998676789364,0,0
5,2018-07-20,"postbreeding_migration",0,0,73.2533321976698,7.46998676789364,0,0
6,2018-07-20,"postbreeding_migration",0,0,73.2533321976698,7.46998676789364,0,0
7,2018-07-20,"postbreeding_migration",0,0,73.2533321976698,7.46998676789364,0,0
8,2018-07-20,"postbreeding_migration",0,0,73.2533321976698,7.46998676789364,0,0
1,2018-07-27,"postbreeding_migration",0,0,376.45260885358,7.32987659133649,0,0
2,2018-07-27,"postbreeding_migration",0,0,376.45260885358,7.32987659133649,0,0
3,2018-07-27,"postbreeding_migration",376.45260885358,7.32987659133649,376.45260885358,7.32987659133649,1,0.0275360314743388
4,2018-07-27,"postbreeding_migration",0,0,376.45260885358,7.32987659133649,0,0
5,2018-07-27,"postbreeding_migration",0,0,376.45260885358,7.32987659133649,0,0
6,2018-07-27,"postbreeding_migration",0,0,376.45260885358,7.32987659133649,0,0
7,2018-07-27,"postbreeding_migration",0,0,376.45260885358,7.32987659133649,0,0
8,2018-07-27,"postbreeding_migration",0,0,376.45260885358,7.32987659133649,0,0
1,2018-08-03,"postbreeding_migration",0,0,1518.87099742889,16.412876196356,0,0
2,2018-08-03,"postbreeding_migration",0,0,1518.87099742889,16.412876196356,0,0
3,2018-08-03,"postbreeding_migration",903.68428784609,7.37755071800502,1518.87099742889,16.412876196356,0.594971060330881,0.00805779741880733
4,2018-08-03,"postbreeding_migration",353.32054924965,10.6713476024289,1518.87099742889,16.412876196356,0.232620512109154,0.00746197665241361
5,2018-08-03,"postbreeding_migration",0,0,1518.87099742889,16.412876196356,0,0
6,2018-08-03,"postbreeding_migration",261.86616033315,10.053685433129,1518.87099742889,16.412876196356,0.172408427559965,0.00687637306354615
7,2018-08-03,"postbreeding_migration",0,0,1518.87099742889,16.412876196356,0,0
8,2018-08-03,"postbreeding_migration",0,0,1518.87099742889,16.412876196356,0,0
1,2018-08-10,"postbreeding_migration",57.908287152648,2.57080839854503,8259.74338190259,25.8354030698044,0.00701090632906674,0.000312017121911497
2,2018-08-10,"postbreeding_migration",303.01643173397,12.8288312622262,8259.74338190259,25.8354030698044,0.03668593777355,0.00155740858727918
3,2018-08-10,"postbreeding_migration",1979.03689911962,8.28116712308123,8259.74338190259,25.8354030698044,0.239600288727585,0.00125173973454328
4,2018-08-10,"postbreeding_migration",1801.79220822453,11.3956861659152,8259.74338190259,25.8354030698044,0.218141427029359,0.00153916725092826
5,2018-08-10,"postbreeding_migration",0,0,8259.74338190259,25.8354030698044,0,0
6,2018-08-10,"postbreeding_migration",2385.89302992821,11.4163274384433,8259.74338190259,25.8354030698044,0.288858009215612,0.00165127546576672
7,2018-08-10,"postbreeding_migration",1524.41845798493,10.0659736629285,8259.74338190259,25.8354030698044,0.18456002656511,0.00134849167377158
8,2018-08-10,"postbreeding_migration",207.67806775868,8.13537548768331,8259.74338190259,25.8354030698044,0.0251434043597178,0.000988077715838402
1,2018-08-17,"postbreeding_migration",261.367702290416,2.95879812920484,16577.9825615138,27.1566396331343,0.0157659535061394,0.000180336491020454
2,2018-08-17,"postbreeding_migration",1306.87708671391,12.762642706865,16577.9825615138,27.1566396331343,0.0788320944279347,0.000780610548695409
3,2018-08-17,"postbreeding_migration",2969.88595578075,9.03105344477031,16577.9825615138,27.1566396331343,0.179146403656825,0.000618777594060398
4,2018-08-17,"postbreeding_migration",2603.00744596123,11.6222487441862,16577.9825615138,27.1566396331343,0.157015935823469,0.000746759429880679
5,2018-08-17,"postbreeding_migration",0,0,16577.9825615138,27.1566396331343,0,0
6,2018-08-17,"postbreeding_migration",4212.38987439871,12.1624395664375,16577.9825615138,27.1566396331343,0.254095446099568,0.000843502363207927
7,2018-08-17,"postbreeding_migration",3398.35701096058,10.8755105562709,16577.9825615138,27.1566396331343,0.204992193612868,0.000736970939685999
8,2018-08-17,"postbreeding_migration",1826.09748540819,9.11072349874589,16577.9825615138,27.1566396331343,0.110151972873196,0.000578432196239377
1,2018-08-24,"postbreeding_migration",461.386058703065,3.23160099988565,18520.4479559809,27.240708856592,0.0249122515718669,0.000178294134717553
2,2018-08-24,"postbreeding_migration",2135.19667072594,12.885286950185,18520.4479559809,27.240708856592,0.115288608342565,0.000716099832983786
3,2018-08-24,"postbreeding_migration",3829.48674970866,9.56352180229987,18520.4479559809,27.240708856592,0.20677074111871,0.000599281428336954
4,2018-08-24,"postbreeding_migration",3400.85040900111,11.4439062007145,18520.4479559809,27.240708856592,0.183626790080035,0.000674355437934742
5,2018-08-24,"postbreeding_migration",0,0,18520.4479559809,27.240708856592,0,0
6,2018-08-24,"postbreeding_migration",4239.81525784731,12.7842317572454,18520.4479559809,27.240708856592,0.228926172192186,0.000768022602048972
7,2018-08-24,"postbreeding_migration",3097.3728042543,10.1936181770121,18520.4479559809,27.240708856592,0.167240706683558,0.000602865406180617
8,2018-08-24,"postbreeding_migration",1356.34000574052,8.70700767445671,18520.4479559809,27.240708856592,0.07323473001108,0.000482311747269054
1,2018-08-31,"postbreeding_migration",827.283238545061,3.78107691916018,18198.0344761759,26.5198891588527,0.0454600324902178,0.000218079992498437
2,2018-08-31,"postbreeding_migration",3178.78755073249,13.1311271776319,18198.0344761759,26.5198891588527,0.174677521074818,0.00076515359682266
3,2018-08-31,"postbreeding_migration",4513.21247044206,9.805609633388,18198.0344761759,26.5198891588527,0.24800549072212,0.000648812587051688
4,2018-08-31,"postbreeding_migration",3693.77478894591,11.3194764451557,18198.0344761759,26.5198891588527,0.202976579354306,0.000688767055873672
5,2018-08-31,"postbreeding_migration",0,0,18198.0344761759,26.5198891588527,0,0
6,2018-08-31,"postbreeding_migration",3476.61207842827,11.6032058466351,18198.0344761759,26.5198891588527,0.191043273545816,0.00069573956469194
7,2018-08-31,"postbreeding_migration",2204.90449979902,9.50293800090058,18198.0344761759,26.5198891588527,0.12116168384479,0.000551239362649136
8,2018-08-31,"postbreeding_migration",303.4598492831,8.20735849898795,18198.0344761759,26.5198891588527,0.0166754189679318,0.000451656690572278
1,2018-09-07,"postbreeding_migration",1002.66365839541,4.18038994072293,14301.4277576804,24.7525583493569,0.0701093398074847,0.000316491572691305
2,2018-09-07,"postbreeding_migration",3795.32214297354,13.5255690822156,14301.4277576804,24.7525583493569,0.265380646413803,0.00105138567802771
3,2018-09-07,"postbreeding_migration",4467.96997618676,9.93952709083341,14301.4277576804,24.7525583493569,0.312414260442443,0.000880571011000269
4,2018-09-07,"postbreeding_migration",2940.56464746594,11.1150509148624,14301.4277576804,24.7525583493569,0.20561336233627,0.000854799181736018
5,2018-09-07,"postbreeding_migration",0,0,14301.4277576804,24.7525583493569,0,0
6,2018-09-07,"postbreeding_migration",1433.77288717031,10.7288066165354,14301.4277576804,24.7525583493569,0.100253828601156,0.00076999680400017
7,2018-09-07,"postbreeding_migration",661.13444548846,8.65023807415867,14301.4277576804,24.7525583493569,0.046228562398842,0.000610120457353703
8,2018-09-07,"postbreeding_migration",0,0,14301.4277576804,24.7525583493569,0,0
1,2018-09-14,"postbreeding_migration",1087.30020602047,4.21290169943997,9181.76715189218,20.2964649945495,0.118419492460817,0.000528252632322869
2,2018-09-14,"postbreeding_migration",4120.18745587766,14.0596639320468,9181.76715189218,20.2964649945495,0.448735781219258,0.00182447159574533
3,2018-09-14,"postbreeding_migration",2890.16955912114,9.28902277070046,9181.76715189218,20.2964649945495,0.314772691499319,0.00122786476819509
4,2018-09-14,"postbreeding_migration",1084.10993087291,10.499421728321,9181.76715189218,20.2964649945495,0.118072034820606,0.00117291565868456
5,2018-09-14,"postbreeding_migration",0,0,9181.76715189218,20.2964649945495,0,0
6,2018-09-14,"postbreeding_migration",0,0,9181.76715189218,20.2964649945495,0,0
7,2018-09-14,"postbreeding_migration",0,0,9181.76715189218,20.2964649945495,0,0
8,2018-09-14,"postbreeding_migration",0,0,9181.76715189218,20.2964649945495,0,0
1,2018-09-21,"postbreeding_migration",1039.44564516842,3.9556916800097,6676.18952673673,16.9760652436683,0.155694448308524,0.000712600127218161
2,2018-09-21,"postbreeding_migration",4020.15690527856,14.0378456166825,6676.18952673673,16.9760652436683,0.602163388139099,0.00260109770336098
3,2018-09-21,"postbreeding_migration",1616.58697628975,8.68781819170811,6676.18952673673,16.9760652436683,0.242142163552377,0.00143962535991085
4,2018-09-21,"postbreeding_migration",0,0,6676.18952673673,16.9760652436683,0,0
5,2018-09-21,"postbreeding_migration",0,0,6676.18952673673,16.9760652436683,0,0
6,2018-09-21,"postbreeding_migration",0,0,6676.18952673673,16.9760652436683,0,0
7,2018-09-21,"postbreeding_migration",0,0,6676.18952673673,16.9760652436683,0,0
8,2018-09-21,"postbreeding_migration",0,0,6676.18952673673,16.9760652436683,0,0
1,2018-09-28,"postbreeding_migration",803.719468072061,3.79973001894515,4670.98010963202,16.4949944104502,0.172066557597775,0.00101536188653191
2,2018-09-28,"postbreeding_migration",3302.30654595792,13.8812004545779,4670.98010963202,16.4949944104502,0.706983645498348,0.00388132894453308
3,2018-09-28,"postbreeding_migration",564.95409560204,8.05972495335523,4670.98010963202,16.4949944104502,0.120949796903877,0.00177756670362631
4,2018-09-28,"postbreeding_migration",0,0,4670.98010963202,16.4949944104502,0,0
5,2018-09-28,"postbreeding_migration",0,0,4670.98010963202,16.4949944104502,0,0
6,2018-09-28,"postbreeding_migration",0,0,4670.98010963202,16.4949944104502,0,0
7,2018-09-28,"postbreeding_migration",0,0,4670.98010963202,16.4949944104502,0,0
8,2018-09-28,"postbreeding_migration",0,0,4670.98010963202,16.4949944104502,0,0
1,2018-10-05,"postbreeding_migration",302.998726949096,2.97471148158357,1554.47227370739,13.0700482834571,0.194920637745728,0.00251953042121214
2,2018-10-05,"postbreeding_migration",1251.47354675829,12.727028472241,1554.47227370739,13.0700482834571,0.805079362254272,0.0106232782783349
3,2018-10-05,"postbreeding_migration",0,0,1554.47227370739,13.0700482834571,0,0
4,2018-10-05,"postbreeding_migration",0,0,1554.47227370739,13.0700482834571,0,0
5,2018-10-05,"postbreeding_migration",0,0,1554.47227370739,13.0700482834571,0,0
6,2018-10-05,"postbreeding_migration",0,0,1554.47227370739,13.0700482834571,0,0
7,2018-10-05,"postbreeding_migration",0,0,1554.47227370739,13.0700482834571,0,0
8,2018-10-05,"postbreeding_migration",0,0,1554.47227370739,13.0700482834571,0,0
1,2018-10-12,"postbreeding_migration",0,0,0,0,0,0
2,2018-10-12,"postbreeding_migration",0,0,0,0,0,0
3,2018-10-12,"postbreeding_migration",0,0,0,0,0,0
4,2018-10-12,"postbreeding_migration",0,0,0,0,0,0
5,2018-10-12,"postbreeding_migration",0,0,0,0,0,0
6,2018-10-12,"postbreeding_migration",0,0,0,0,0,0
7,2018-10-12,"postbreeding_migration",0,0,0,0,0,0
8,2018-10-12,"postbreeding_migration",0,0,0,0,0,0
1,2018-10-19,"postbreeding_migration",0,0,0,0,0,0
2,2018-10-19,"postbreeding_migration",0,0,0,0,0,0
3,2018-10-19,"postbreeding_migration",0,0,0,0,0,0
4,2018-10-19,"postbreeding_migration",0,0,0,0,0,0
5,2018-10-19,"postbreeding_migration",0,0,0,0,0,0
6,2018-10-19,"postbreeding_migration",0,0,0,0,0,0
7,2018-10-19,"postbreeding_migration",0,0,0,0,0,0
8,2018-10-19,"postbreeding_migration",0,0,0,0,0,0
1,2018-10-26,"postbreeding_migration",0,0,0,0,0,0
2,2018-10-26,"postbreeding_migration",0,0,0,0,0,0
3,2018-10-26,"postbreeding_migration",0,0,0,0,0,0
4,2018-10-26,"postbreeding_migration",0,0,0,0,0,0
5,2018-10-26,"postbreeding_migration",0,0,0,0,0,0
6,2018-10-26,"postbreeding_migration",0,0,0,0,0,0
7,2018-10-26,"postbreeding_migration",0,0,0,0,0,0
8,2018-10-26,"postbreeding_migration",0,0,0,0,0,0
1,2018-11-02,"postbreeding_migration",0,0,0,0,0,0
2,2018-11-02,"postbreeding_migration",0,0,0,0,0,0
3,2018-11-02,"postbreeding_migration",0,0,0,0,0,0
4,2018-11-02,"postbreeding_migration",0,0,0,0,0,0
5,2018-11-02,"postbreeding_migration",0,0,0,0,0,0
6,2018-11-02,"postbreeding_migration",0,0,0,0,0,0
7,2018-11-02,"postbreeding_migration",0,0,0,0,0,0
8,2018-11-02,"postbreeding_migration",0,0,0,0,0,0
